,timestamp_mdf,GPS_Week,GPS_Seconds,Latitude_deg,Longitude_deg,Height_m,Undulation_m,North_Velocity_m_invert_s,East_Velocity_m_invert_s,Up_Velocity_m_invert_s,Roll_deg,Pitch_deg,Azimuth_deg,INS_Status,Latitude_Sigma,Longitude_Sigma,Height_Sigma,North_Vel_Sigma,East_Vel_Sigma,Up_Vel_Sigma,Roll_Sigma,Pitch_Sigma,Azimuth_Sigma
133,1645015684309378.5,,,,,,,,,,,,,,,,,,,,,,
134,1645015684319466.5,,,,,,,,,,,,,,,,,,,,,,
135,1645015684329373.0,,,,,,,,,,,,,,,,,,,,,,
136,1645015684339378.2,,,,,,,,,,,,,,,,,,,,,,
137,1645015684376635.5,,,,,,,,,,,,,,,,,,,,,,
138,1645015684380241.8,,,,,,,,,,,,,,,,,,,,,,
139,1645015684381617.5,,,,,,,,,,,,,,,,,,,,,,
140,1645015684382174.8,,,,,,,,,,,,,,,,,,,,,,
141,1645015684382726.8,,,,,,,,,,,,,,,,,,,,,,
142,1645015684389587.2,,,,,,,,,,,,,,,,,,,,,,
143,1645015684399502.8,,,,,,,,,,,,,,,,,,,,,,
144,1645015684409498.2,,,,,,,,,,,,,,,,,,,,,,
145,1645015684419797.0,,,,,,,,,,,,,,,,,,,,,,
146,1645015684429823.8,,,,,,,,,,,,,,,,,,,,,,
147,1645015684440201.2,,,,,,,,,,,,,,,,,,,,,,
148,1645015684449502.0,,,,,,,,,,,,,,,,,,,,,,
149,1645015684459668.8,,,,,,,,,,,,,,,,,,,,,,
150,1645015684469391.2,,,,,,,,,,,,,,,,,,,,,,
151,1645015684479512.2,,,,,,,,,,,,,,,,,,,,,,
152,1645015684489393.5,,,,,,,,,,,,,,,,,,,,,,
153,1645015684499433.0,,,,,,,,,,,,,,,,,,,,,,
154,1645015684509401.5,,,,,,,,,,,,,,,,,,,,,,
155,1645015684519497.8,,,,,,,,,,,,,,,,,,,,,,
156,1645015684529383.2,,,,,,,,,,,,,,,,,,,,,,
157,1645015684539461.0,,,,,,,,,,,,,,,,,,,,,,
158,1645015684549797.2,,,,,,,,,,,,,,,,,,,,,,
